"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
244615753,1501098808,31732439,3215936,3600,0,511,0,0,"ANGELA ESMEE","PD4603",69,45,34,4,4,12,"AMSTERDAM.",1596
277354000,1501098249,34633280,6360070,2770,0,240,5,7003829,"GILIJA","LYSK",30,35,15,4,4,64,"SKAGEN",324559
211670820,1501098809,31848707,5267774,3600,0,511,15,0,"BIENE","DB4619",89,29,6,1,5,10,"",67584
257294000,1501098808,30738841,1758315,478,0,130,0,9396854,"OLYMPIC INTERVENTION","LAFQ3",90,27,68,12,8,60,"OOSTENDE",507008
310160000,1501098806,22757592,14209438,3350,0,25,0,8667799,"M/Y FANTASIA","VSBS3",37,25,25,5,5,42,"FLOISVOS",497679
220002000,1501097562,21777374,-4834251,1049,117,103,0,9237864,"ELSE MARIE THERESA","OWJL2",82,87,9,13,1,65,"GENOVA, ITALY",521344
241055000,1501098797,30752220,2619460,3120,0,91,5,9288382,"ASPHALT EAGLE","SVBC6",81,147,36,22,12,107,"BEANR",510400
227023430,1501098801,26897490,12290916,997,111,99,0,0,"VIVALDI","FM4518",69,18,92,6,5,16,"SULINA",506304
503051540,1501098692,-16257583,91874080,2559,0,511,0,0,"AUSSIE RULES","",36,5,5,2,2,0,"",
219016747,1501098807,30737820,1762106,3017,0,144,0,9634139,"ASSISTER","OUTZ2",99,13,6,4,4,20,"OOSTENDE",479232
538005437,1501098391,22494185,14330670,3291,1,236,1,9683491,"ST.JOHN ARK","V7DV3",75,145,13,14,10,64,"PIR OPL ANCHORAGE",496030
237451000,1501098219,24044122,14701968,2933,67,511,15,0,"MAKANTOYKA","SV3556",30,3,15,1,4,15,"",1596
525005267,1501098422,-4310575,67627861,0,0,511,0,9723837,"WHS 2503 P","JZRS",80,0,0,0,0,42,"SURABAYA,..........",367296
338212341,1501098799,22121518,-45603067,3200,0,511,0,0,"ISLAND GIRL","",37,10,7,3,3,0,"",
205243000,1501098792,31770488,2871293,3190,0,511,7,0,"Z483JASMINE","OPTE",30,38,8,4,4,45,"",202176
205414000,1501098808,30793400,1926560,1088,4,220,0,9314260,"UNION CORAL","OROB",52,18,15,6,6,52,"ZEEBRUGGE",635166
244650101,1501098810,27142595,11654490,0,0,511,0,0,"GANZEPOORT+2BARGE","PE5093",79,100,80,11,12,20,"BACKA PALANKA",508672
279202316,1501098808,26841727,12655350,635,0,511,15,0,"ZRENJANIN","",0,60,10,3,6,0,"",1596
240013300,1501098808,22727938,14235932,3152,0,156,15,0,"SUN ANEMOS","SVA7680",90,20,8,1,4,0,"",1596
279202155,1501098808,27407733,11380300,519,12,511,0,0,"KAJMAKCALAN","YT2155",90,177,0,32,1,25,"SMEDEREVO",273432
235099967,1501098803,30735233,1763596,2850,0,3,9,0,"CWIND CHALLENGER","2GRU4",45,6,12,3,3,10,"OSTEND",447646
413699560,1501098204,15656788,71717776,2764,1,215,15,0,"ZHONGGUOHAIJING 2115","BVLK",55,38,52,5,7,0,"",0
269868000,1501097712,20951339,20192968,1,0,267,1,9359959,"SCL AKWABA","HBEM",70,119,21,11,11,63,"LARNACA",502814
256947000,1501098804,30792820,1926936,260,0,73,0,9559250,"RT AMBITION","9HA2968",52,15,17,6,6,60,"ZEEBRUGGE",428672
205112000,1501098805,30736107,1760554,2790,1,128,3,0,"TER STREEP","ORDJ",10,25,25,7,3,37,"OOSTENDE",513024
304010085,1501098749,19609953,19378739,2123,100,211,0,9021095,"RUTH","V2GX",70,70,18,8,6,40,"DAMIETTA",514496
255805601,1501098750,16880154,-9250524,352,0,2,5,9144718,"RENATE P","CQHZ",70,120,30,10,15,81,"TENERIFA",514462
279202558,1501098808,26771983,13558354,176,0,511,0,0,"EURO GAS 7","YT-2558",80,70,11,6,3,20,"KLADOVO",149504
253338000,1501098277,26243875,4458602,3401,1,19,1,9502049,"MIMAR SINAN","LXMU",90,8,54,14,6,60,"MONACO ANC",434688
316004981,1501098807,29370033,-75334345,3105,0,511,15,7902219,"KARENORA","CFN5285",30,12,12,3,3,0,"FISHING",1596
237320200,1501098806,22766764,14185396,3600,0,511,0,8650966,"AGIA MARINA AIGINIS","SX8552",60,12,30,4,5,0,"PIRAEUS>SOUVALA>AAM",463400
248247000,1501098801,31170360,2394132,2800,0,511,0,9406611,"CMA CGM MUSSET","9HA2284",74,225,75,15,25,115,"ROTTERDAM",512896
257878600,1501098659,37880071,5082131,3041,0,511,0,0,"EMANUEL DESPERADOS","LG-9178",70,5,10,5,4,0,"",
279202576,1501098810,27221268,11387038,1565,0,511,8,0," LADJAR","YT2576",80,92,13,6,3,19,"VUKOVAR",504384
244730119,1501098804,31580825,3249243,0,0,511,15,0,"BERT","PE4890",33,53,7,4,4,0,"",1596
265626770,1501098617,34529511,7153195,0,0,511,0,0,"AURA","8SY2311",37,11,1,1,3,0,"",
338299000,1501098794,19628232,-70827840,1722,88,511,0,0,"CONSTITUTION","WDD4734",60,13,13,4,4,0,"",1596
241420000,1501098478,22767665,14183540,2500,1,37,5,9141845,"HELLENIC HIGHSPEED","SVAI2",40,40,47,12,5,40,"THI-IO SIF-PIR",513093
244660572,1501098804,31450481,2883353,3288,0,220,0,0,"PA5/POLLUX","PA3786",99,9,11,5,3,28,"AMSTERDAM",1596
244700337,1501098777,31596087,3360893,0,0,511,0,0,"WILLEKE","PB2208",99,5,12,1,3,3,"LEIDEN",0
211467550,1501098808,31832231,5326789,3600,0,511,0,0,"LUESSEN 13","DA2383",79,80,0,10,0,28,"",0
244060113,1501098806,31445573,2916816,3600,0,511,0,0,"TESCO 10","PH6429",79,72,8,4,4,26,"AMSTERDAM",512853
244670797,1501098808,30748713,2610561,1589,0,511,0,0,"COLOMBUS","PD2163",80,58,9,3,5,10,"ANTWERPEN",627968
367063310,1501098645,30753721,2541169,67,0,27,5,8919934,"INTEGRITY","WDC6925",79,44,155,16,16,84,"BREMERHAVEN",518720
241516000,1501098794,22769687,14164016,2901,0,87,0,9412141,"ORCA Z","SV7711",52,10,24,6,4,40,"PEIRAIAS",433502
211417790,1501098796,32322480,5224240,1913,0,511,0,0,"JAN CUX","DK2915",60,7,20,4,2,0,"",1596
211745720,1501098800,30759935,2620867,3600,0,269,0,0,"DETTMER TANK 122","DJ8787",80,84,2,5,5,0,"ANTWERPEN",506624
316007587,1501098809,29366726,-75327752,3109,0,511,9,0,"PACIFIC VIKING","CFC4341",30,8,16,3,4,0,"FISHING GROUNDS",1596
316003768,1501098801,29364697,-75324623,3310,0,511,0,0,"ISLAND SUN","VG7348",30,11,12,4,3,0,"",0
316001223,1501098804,29575214,-73784839,1899,1,511,0,9738959,"ISLAND MONARCH","CFL4938",52,11,30,5,5,60,"VANCOUVER",512734
413204810,1501098804,23324812,72941400,3600,0,511,0,0,"TIAN XIANG 9","0",60,7,22,3,5,11,"MENXX",0
