"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
228329900,1500321493,25869992,3547329,1983,0,351,5,9320922,"JASON","FMEE",52,12,55,8,7,56,"AT ORDER",1596
244670549,1500321509,31100400,2796156,2048,0,511,0,0,"TERBREGGE","PE9190",79,102,0,5,6,18,"LAAD OF LOSPLAATS",615326
244650924,1500321554,30797620,2294593,243,0,511,0,0,"SAVANNA 2","PD4254",79,7,15,3,7,20,"TERNEUZEN",172032
636015952,1500321541,24770060,1365910,280,3,236,0,9260914,"VENETIKO","D5DR5",74,211,69,13,27,106,"ESBCN",494592
258953000,1500321427,30757178,2634249,2920,0,81,5,9318565,"STEN AURORA","LAKI6",80,133,11,8,15,86,"ANTWERP",490112
338201659,1500321544,22714930,-73488064,1058,0,511,0,0,"JOURNEY","",37,7,13,3,3,0,"",
305446000,1500321566,24313185,8446441,2845,144,289,0,9436202,"MIRIAM BORCHARD","V2QE9",71,131,10,8,14,69,"FRMRS",497984
257305440,1500321523,42591026,15616563,338,0,511,0,0,"KING MARCUS","",0,0,0,0,0,0,"",
244670098,1500321533,31153065,2530884,238,0,511,0,0,"MAXIMA","PD2925",80,135,0,8,8,0,"E WERKHAVEN IN",426703
412412780,1500321535,17817647,73321557,3556,5,511,0,0,"ZHE JIAO GONG 21","",0,39,7,8,8,36,"",0
413442920,1500321415,14648889,70825345,2888,0,278,5,9627461,"HUA LE 8","BKUD5",70,95,20,5,13,67,"CN ZZU",489856
235117926,1500321568,30492389,-781084,1446,345,142,0,9788083,"RED JET 6","2JPU3",40,15,25,5,6,10,"SOTON-COWES-SOTON",94238
413788362,1500321452,23392763,70630674,2759,0,511,5,0,"HAIYANGSHIYOU 222","BFIL",90,20,70,14,14,36,"TIAN JIN",793472
538005942,1500320025,20588638,-9639277,2578,133,258,0,9705287,"SBI BRAVO","V7IH8",70,171,29,19,13,108,"BROWNSVILLE TX",520576
205619510,1500321499,30800070,1922949,3473,0,511,0,0,"COLINE","OR6195",37,2,4,2,2,0,"",
245349000,1500321558,31258675,2561526,2648,0,511,9,8433083,"TRIP SENIOR","PIBA",60,19,7,2,4,27,"SCHEVENINGEN",515038
205541000,1500321566,30795196,1918897,2623,0,353,3,5062352,"IVO","ORPD",31,6,20,6,2,32,"ZEEBRUGGE",375774
316009418,1500321570,30036200,-74910900,3550,90,354,0,0,"ORCA 55","CGAB",35,16,17,4,4,26,"TEAKERNE ARM",494592
257178940,1500321559,41538973,10804130,0,0,511,0,0,"M/S MODDY","LK8347",30,3,7,2,2,0,"",
257305140,1500321406,41094911,9908493,855,0,511,0,0,"SYNOY","LM9353",30,4,7,2,2,0,"",
413055660,1500321530,12641975,66302484,549,0,511,5,0,"ZHANGANGXIAOTUO601","",52,19,24,8,3,46,"ZHAN JIANG",369216
636015815,1500321562,-1446376,-26552669,654,1,225,1,9582506,"KARPATY","D5CZ3",70,204,25,11,21,73,"ITAQUI",494528
477759800,1500321319,-14458430,-27806490,2920,1,214,1,9514054,"ANNIKA N","VRIN4",70,161,29,12,21,63,"SANTOS",486208
